100 100 2 2 97 99
NSW |NS |NS |NS |NS |NE |NW |NE |NW |NS |N |NS |NS |NSE |NW |N |NS |NS |NE |NW |NS |NS |N |NS |NS |NE |NW |N |NSE |NW |N |NE |NSW |NS |NS |NS |NS |N |NE |NW |NS |NS |NE |NSW |N |NS |NS |NS |NS |NE |NSW |NE |NW |N |NE |NSW |N |NS |NSE |NW |NE |NW |N |NE |NW |N |NS |NE |NW |N |NS |NE |NW |N |NSE |NW |NS |NS |NS |N |NSE |NW |NS |NE |NW |NE |NW |NS |N |NE |NEW |NW |NS |NS |N |NS |NE |NW |NS |NE |
NW |SE |SW |NE |NSW |NE |SW |SE |NW |NS |NE |EW |W |NSE |EW |W |SE |EW |EW |SW |NE |SW |SE |EW |EW |EW |NW |SE |NSW |N |E |NW |NE |NSW |S |NS |NS |SE |EW |SEW |EW |NEW |NW |SE |NW |NE |SW |NSE |SW |NS |NE |EW |EW |SW |S |NE |SW |NE |SW |SE |NW |NE |SW |NE |EW |NEW |SW |SE |SW |NE |EW |NEW |SW |NS |NS |NS |NS |NE |SW |NE |SW |NE |NSW |N |NS |E |SW |NS |SE |EW |SW |SE |NW |SE |SW |S |NS |E |SW |NE |
SW |NS |NE |SW |NS |S |NE |NW |SE |NEW |EW |EW |EW |NW |SE |EW |NW |SE |EW |NW |E |NW |NE |EW |SEW |W |SE |NW |NE |SEW |EW |EW |SW |NE |NW |NS |NS |NS |E |NW |SE |EW |SW |NS |SE |SW |NE |NW |NS |NE |SW |SE |W |NE |NEW |EW |NEW |SW |NE |NW |SE |EW |NW |SE |EW |EW |NW |NS |NE |EW |EW |EW |NW |N |NS |NS |NSE |W |NSE |SW |NE |EW |NW |SE |NW |S |NS |NS |NS |SE |NW |NS |SE |NW |NS |NE |NSW |S |NSE |EW |
NW |NE |SW |NS |NS |NE |SEW |EW |NW |S |SE |SW |SE |EW |NW |SE |W |NE |SW |SE |SW |SE |EW |SW |NE |SW |NS |SE |SW |NE |EW |SW |NE |EW |EW |NW |NS |NE |SW |S |NS |S |NS |NS |NE |NEW |EW |SW |NE |SW |NS |NE |EW |EW |SW |S | |NSE |EW |EW |NEW |SW |SE |NSW |S |SE |SW |NE |EW |EW |EW |EW |EW |EW |NW |NS |NE |EW |NW |NE |SW |SE |W |NE |SEW |NW |NS |NS |NE |NW |SE |NW |N |SE |NSW |S |NS |NS |NS |E |
EW |SW |NS |NS |NE |SW |NE |EW |SW |NE |NSW |N |NE |EW |EW |NW |SE |SW |N |NS |NS |NE |SW |NE |EW |NW |NS |NE |NEW |SW |E |NW |SE |EW |SEW |EW |NEW |SW |NS |NS |NS |N |NE |NW |SE |EW |SW |NE |SW |NE |NEW |EW |SEW |SW |NE |NW |SE |NW |SE |EW |W |NSE |NW |N |NS |NS |NE |EW |SW |E |EW |EW |EW |SW |SE |NW |SE |SW |SE |SW |NS |NE |EW |SW |NE |W |NS |NSE |EW |EW |NSW |SE |W |NS |NE |NW |NE |NW |NE |SEW |
EW |NSW |N |NE |SW |NE |SW |SE |NEW |SW |NS |SE |SW |SE |EW |SEW |NW |NE |SW |NS |NE |SW |NE |SEW |SW |SE |NW |SE |W |NS |SE |EW |NEW |SW |NS |SE |W |NS |NE |NW |NE |SEW |EW |EW |NW |E |NW |SE |NW |SE |EW |EW |NW |NS |SE |SW |NSE |EW |NW |SE |SW |NS |SE |W |NS |NE |SW |SE |NW |SE |EW |SW |E |NSW |NE |SW |NE |NW |NS |NS |NE |SW |S |NSE |EW |EW |NW |NS |SE |EW |NW |NE |SW |NE |SW |SE |SW |SE |SW |NE |
SW |NE |EW |EW |NW |S |NE |NW |E |NW |NS |N |NS |NE |SW |NS |SE |EW |NSW |NS |E |NEW |SW |NE |NW |NE |EW |NW |SE |NW |NE |SW |E |NW |NS |N |E |NSW |SE |EW |SW |NE |EW |SW |SE |SEW |SW |NS |SE |NW |SE |EW |EW |NW |NS |NS |N |SE |SW |NS |NS |NS |NE |SW |NSE |SW |NS |NE |SW |NSE |SW |NE |SW |NE |SW |NE |EW |SW |NE |NW |SE |NW |NS |NS |E |EW |EW |NW |NS |SE |EW |SW |NE |SW |NS |NS |NE |NW |NS |E |
NEW |EW |EW |SEW |EW |NW |S |SE |EW |EW |NW |SE |NSW |S |NS |NS |NSE |SW |NS |NE |SW |E |NW |SE |EW |SW |SE |EW |NW |SE |EW |NW |SE |SEW |NW |SE |EW |NW |NE |W |NE |EW |SW |NS |NS |N |NS |NS |NS |SE |NW |SE |EW |SW |NS |NE |EW |NW |NS |NS |NE |NSW |S |NE |NW |NS |NE |EW |NW |NS |NS |SE |NSW |S |NS |SE |EW |NW |SE |SW |NS |SE |NEW |NW |SE |EW |EW |SW |NS |NS |SE |NEW |EW |NW |NS |NS |SE |EW |NSW |E |
W |SE |SW |NE |EW |SEW |NW |NE |SEW |EW |SW |NS |NS |NS |NS |NS |NS |NS |NE |EW |NSW |SE |SW |NE |SW |NS |NE |SEW |SW |NE |EW |SW |NE |NW |SE |NW |SE |EW |EW |SEW |EW |SW |N |NS |NS |SE |NW |NS |NS |NS |SE |NW | |NS |NSE |EW |SEW |SW |NE |NEW |SW |NS |NE |W |SE |NSW | |SE |EW |NW |NE |NW |NS |NE |NW |NS |E |EW |NSW |NS |NS |N |S |SE |NW |SE |W |NS |NS |NS |NSE |W |SE |SEW |NW |NS |NE |SW |NE |EW |
EW |NW |NS |E |SW |NS |SE |EW |NW |SE |NSW |N |NS |NE |NW |NS |NS |NE |EW |SW |NS |NS |NE |W |NE |NEW |SW |NE |NW |SE |SW |NE |EW |EW |NW |SE |NEW |EW |SW |NS |SE |NSW |SE |NW |NS |NE |SW |NE |NSW |NS |N |SE |EW |NW |NS |SE |NW |NE |SW |S |NS |NE |EW |SEW |NW |NE |SEW |NW |SE |EW |SW |SE |NW |SE |SW |NE |EW |SW |NS |NS |NE |SEW |NW |NS |SE |NW |SE |NW |NE |NW |NE |SW |NS |NE |EW |NW |SE |NW |SE |EW |
SW |SE |NSW |S |NS |NS |NSE |SW |S |NS |NS |SE |NSW |S |SE |NSW |NS |SE |SW |NS |NS |NS |S |SE |SW |S |NSE |SW |S |NS |NSE |SW |S |SE |SW |NS |SE |SW |NS |NS |NS |NS |NS |S |NSE |SW |NS |S |NS |NS |SE |NSW |SE |SW |NS |NS |SE |SW |NS |NS |NS |SE |SW |NS |SE |SW |NS |S |NS |SE |NSW |NS |S |NS |NS |SE |SW |NS |NS |NSE |SW |NS |S |NS |NSE |SW |NS |SE |SW |SE |SW |NS |NS |S |SE |SW |NS |S |NSW |SE |

